case_id,activity,timestamp,resource
ORD-00001,Receive Order,2026-03-10T06:51:56.657996+00:00,
ORD-00001,Credit Check,2026-03-10T09:25:42.449592+00:00,Credit Team
ORD-00001,Approve Order,2026-03-10T10:04:08.677242+00:00,Sales Manager
ORD-00001,Ship Item,2026-03-11T04:00:28.493775+00:00,Warehouse
ORD-00001,Send Invoice,2026-03-11T04:07:33.911498+00:00,Finance
ORD-00001,Payment Received,2026-03-17T12:35:59.799396+00:00,Finance
ORD-00001,Close Order,2026-03-17T12:42:07.562864+00:00,
ORD-00002,Receive Order,2026-03-07T05:47:03.784424+00:00,
ORD-00002,Credit Check,2026-03-07T07:55:27.009744+00:00,Credit Team
ORD-00002,Approve Order,2026-03-07T09:03:30.748059+00:00,Sales Manager
ORD-00002,Ship Item,2026-03-07T10:40:07.926349+00:00,Warehouse
ORD-00002,Send Invoice,2026-03-07T10:42:55.298680+00:00,Finance
ORD-00002,Payment Received,2026-03-12T08:17:55.391225+00:00,Finance
ORD-00002,Close Order,2026-03-12T08:51:04.484066+00:00,
ORD-00003,Receive Order,2026-03-04T10:07:26.400184+00:00,
ORD-00003,Credit Check,2026-03-04T16:41:41.022514+00:00,Credit Team
ORD-00003,Approve Order,2026-03-04T16:57:21.964700+00:00,Sales Manager
ORD-00003,Ship Item,2026-03-05T12:29:23.798752+00:00,Warehouse
ORD-00003,Send Invoice,2026-03-05T12:36:40.794025+00:00,Finance
ORD-00003,Payment Received,2026-03-08T13:36:26.661788+00:00,Finance
ORD-00003,Close Order,2026-03-08T13:46:37.059217+00:00,
ORD-00004,Receive Order,2026-03-14T17:39:45.714832+00:00,
ORD-00004,Credit Check,2026-03-14T18:51:29.852603+00:00,Credit Team
ORD-00004,Approve Order,2026-03-14T19:16:39.165777+00:00,Sales Manager
ORD-00004,Ship Item,2026-03-15T15:46:11.699311+00:00,Warehouse
ORD-00004,Send Invoice,2026-03-15T15:52:37.711368+00:00,Finance
ORD-00004,Payment Received,2026-03-21T12:06:13.008233+00:00,Finance
ORD-00004,Close Order,2026-03-21T12:50:16.258758+00:00,
ORD-00005,Receive Order,2026-03-08T20:15:15.047207+00:00,
ORD-00005,Credit Check,2026-03-08T23:35:35.475392+00:00,Credit Team
ORD-00005,Approve Order,2026-03-09T00:48:33.331369+00:00,Sales Manager
ORD-00005,Ship Item,2026-03-09T20:53:08.037569+00:00,Warehouse
ORD-00005,Send Invoice,2026-03-09T20:59:42.038235+00:00,Finance
ORD-00005,Payment Received,2026-03-16T01:04:50.895356+00:00,Finance
ORD-00005,Close Order,2026-03-16T01:39:54.721950+00:00,
ORD-00006,Receive Order,2026-03-11T04:45:21.090938+00:00,
ORD-00006,Credit Check,2026-03-11T06:57:54.344381+00:00,Credit Team
ORD-00006,Approve Order,2026-03-11T07:43:17.488552+00:00,Sales Manager
ORD-00006,Ship Item,2026-03-11T10:33:24.264241+00:00,Warehouse
ORD-00006,Send Invoice,2026-03-11T10:36:29.971320+00:00,Finance
ORD-00006,Payment Received,2026-03-13T01:09:09.112326+00:00,Finance
ORD-00006,Close Order,2026-03-13T01:26:33.138881+00:00,
ORD-00007,Receive Order,2026-03-10T05:37:51.463505+00:00,
ORD-00007,Credit Check,2026-03-10T08:54:26.349617+00:00,Credit Team
ORD-00007,Approve Order,2026-03-10T09:31:26.243911+00:00,Sales Manager
