case_id,activity,timestamp,resource
ORD-00001,Receive Order,2026-03-05T20:50:04.316144+00:00,
ORD-00001,Credit Check,2026-03-06T02:12:59.546916+00:00,Credit Team
ORD-00001,Approve Order,2026-03-06T02:35:35.895522+00:00,Sales Manager
ORD-00001,Ship Item,2026-03-06T15:55:06.925479+00:00,Warehouse
ORD-00001,Send Invoice,2026-03-06T15:59:24.397494+00:00,Finance
ORD-00001,Payment Received,2026-03-08T00:20:31.040097+00:00,Finance
ORD-00001,Close Order,2026-03-08T00:51:27.362592+00:00,
ORD-00002,Receive Order,2026-03-01T20:38:38.823415+00:00,
ORD-00002,Credit Check,2026-03-01T21:40:04.919852+00:00,Credit Team
ORD-00002,Approve Order,2026-03-01T22:04:36.411836+00:00,Sales Manager
ORD-00002,Ship Item,2026-03-02T08:50:26.600697+00:00,Warehouse
ORD-00002,Send Invoice,2026-03-02T08:58:53.100844+00:00,Finance
ORD-00002,Payment Received,2026-03-04T02:48:32.037504+00:00,Finance
ORD-00002,Close Order,2026-03-04T03:02:42.303439+00:00,
ORD-00003,Receive Order,2026-03-10T02:53:50.675968+00:00,
ORD-00003,Credit Check,2026-03-10T07:43:32.455581+00:00,Credit Team
ORD-00003,Approve Order,2026-03-10T08:40:11.542571+00:00,Sales Manager
ORD-00003,Ship Item,2026-03-11T08:07:25.465314+00:00,Warehouse
ORD-00003,Send Invoice,2026-03-11T08:08:50.619962+00:00,Finance
ORD-00003,Payment Received,2026-03-17T11:46:00.669133+00:00,Finance
ORD-00003,Close Order,2026-03-17T12:04:05.886007+00:00,
ORD-00004,Receive Order,2026-03-03T08:29:39.218966+00:00,
ORD-00004,Credit Check,2026-03-03T11:18:28.228217+00:00,Credit Team
ORD-00004,Approve Order,2026-03-03T12:59:09.824279+00:00,Sales Manager
ORD-00004,Ship Item,2026-03-03T18:08:33.968537+00:00,Warehouse
ORD-00004,Send Invoice,2026-03-03T18:14:48.032625+00:00,Finance
ORD-00004,Payment Received,2026-03-08T14:15:00.774916+00:00,Finance
ORD-00004,Close Order,2026-03-08T14:37:59.062217+00:00,
ORD-00005,Receive Order,2026-03-09T00:03:46.775076+00:00,
ORD-00005,Credit Check,2026-03-09T01:00:36.006665+00:00,Credit Team
ORD-00005,Approve Order,2026-03-09T01:37:13.546556+00:00,Sales Manager
ORD-00005,Ship Item,2026-03-09T18:16:10.664335+00:00,Warehouse
ORD-00005,Send Invoice,2026-03-09T18:21:01.564180+00:00,Finance
ORD-00005,Payment Received,2026-03-12T15:35:15.457303+00:00,Finance
ORD-00005,Close Order,2026-03-12T16:10:48.346300+00:00,
ORD-00006,Receive Order,2026-03-07T16:18:23.765737+00:00,
ORD-00006,Credit Check,2026-03-07T22:45:52.011738+00:00,Credit Team
ORD-00006,Approve Order,2026-03-08T00:14:15.676670+00:00,Sales Manager
ORD-00006,Ship Item,2026-03-08T06:51:06.867758+00:00,Warehouse
ORD-00006,Send Invoice,2026-03-08T06:57:17.056562+00:00,Finance
ORD-00006,Payment Received,2026-03-12T10:34:58.924138+00:00,Finance
ORD-00006,Close Order,2026-03-12T11:27:36.910872+00:00,
ORD-00007,Receive Order,2026-03-11T13:07:46.127170+00:00,
ORD-00007,Credit Check,2026-03-11T20:58:50.848052+00:00,Credit Team
ORD-00007,Approve Order,2026-03-11T21:26:14.662455+00:00,Sales Manager
ORD-00007,Ship Item,2026-03-12T08:03:15.232099+00:00,Warehouse
ORD-00007,Send Invoice,2026-03-12T08:11:04.088201+00:00,Finance
ORD-00007,Payment Received,2026-03-14T06:04:12.870969+00:00,Finance
ORD-00007,Close Order,2026-03-14T06:34:03.800345+00:00,
ORD-00008,Receive Order,2026-03-01T21:14:05.469931+00:00,
ORD-00008,Credit Check,2026-03-02T03:28:08.883319+00:00,Credit Team
ORD-00008,Approve Order,2026-03-02T04:43:18.946743+00:00,Sales Manager
ORD-00008,Ship Item,2026-03-03T01:51:28.509563+00:00,Warehouse
ORD-00008,Send Invoice,2026-03-03T01:55:17.933220+00:00,Finance
ORD-00008,Payment Received,2026-03-08T06:02:39.051096+00:00,Finance
ORD-00008,Close Order,2026-03-08T06:38:43.120461+00:00,
ORD-00009,Receive Order,2026-03-09T10:53:30.728380+00:00,
ORD-00009,Credit Check,2026-03-09T17:41:29.858454+00:00,Credit Team
ORD-00009,Approve Order,2026-03-09T19:35:41.349353+00:00,Sales Manager
ORD-00009,Ship Item,2026-03-10T07:29:56.691691+00:00,Warehouse
ORD-00009,Send Invoice,2026-03-10T07:36:55.333882+00:00,Finance
ORD-00009,Payment Received,2026-03-11T16:21:06.365148+00:00,Finance
ORD-00009,Close Order,2026-03-11T17:03:29.646903+00:00,
ORD-00010,Receive Order,2026-03-10T09:31:05.405462+00:00,
ORD-00010,Credit Check,2026-03-10T16:10:57.374700+00:00,Credit Team
ORD-00010,Approve Order,2026-03-10T16:55:50.326552+00:00,Sales Manager
ORD-00010,Ship Item,2026-03-11T02:48:13.857987+00:00,Warehouse
ORD-00010,Send Invoice,2026-03-11T02:55:14.930454+00:00,Finance
ORD-00010,Payment Received,2026-03-12T06:10:11.552358+00:00,Finance
ORD-00010,Close Order,2026-03-12T06:38:25.953672+00:00,
ORD-00011,Receive Order,2026-03-03T16:29:19.422116+00:00,
ORD-00011,Credit Check,2026-03-03T17:25:51.191438+00:00,Credit Team
ORD-00011,Approve Order,2026-03-03T19:01:31.059265+00:00,Sales Manager
ORD-00011,Ship Item,2026-03-03T23:00:00.429648+00:00,Warehouse
ORD-00011,Send Invoice,2026-03-03T23:03:14.141658+00:00,Finance
ORD-00011,Payment Received,2026-03-07T07:21:02.467762+00:00,Finance
ORD-00011,Close Order,2026-03-07T08:13:27.301550+00:00,
ORD-00012,Receive Order,2026-03-02T11:07:18.946908+00:00,
ORD-00012,Credit Check,2026-03-02T15:44:33.824455+00:00,Credit Team
ORD-00012,Approve Order,2026-03-02T17:32:19.142562+00:00,Sales Manager
ORD-00012,Ship Item,2026-03-03T13:22:55.513135+00:00,Warehouse
ORD-00012,Send Invoice,2026-03-03T13:31:42.064749+00:00,Finance
ORD-00012,Payment Received,2026-03-06T05:37:15.544593+00:00,Finance
ORD-00012,Close Order,2026-03-06T06:02:45.694264+00:00,
ORD-00013,Receive Order,2026-03-06T08:37:21.807864+00:00,
ORD-00013,Credit Check,2026-03-06T16:18:20.550371+00:00,Credit Team
ORD-00013,Approve Order,2026-03-06T16:49:11.352077+00:00,Sales Manager
ORD-00013,Ship Item,2026-03-06T21:52:22.179996+00:00,Warehouse
ORD-00013,Send Invoice,2026-03-06T21:55:27.436704+00:00,Finance
ORD-00013,Payment Received,2026-03-09T07:31:28.862484+00:00,Finance
ORD-00013,Close Order,2026-03-09T08:01:05.630549+00:00,
ORD-00014,Receive Order,2026-03-09T13:58:46.849304+00:00,
ORD-00014,Credit Check,2026-03-09T14:30:37.376595+00:00,Credit Team
ORD-00014,Approve Order,2026-03-09T15:29:36.739552+00:00,Sales Manager
ORD-00014,Ship Item,2026-03-10T00:59:10.935388+00:00,Warehouse
ORD-00014,Send Invoice,2026-03-10T01:05:16.759649+00:00,Finance
ORD-00014,Payment Received,2026-03-16T18:20:02.724241+00:00,Finance
ORD-00014,Close Order,2026-03-16T19:01:47.071787+00:00,
ORD-00015,Receive Order,2026-03-08T13:15:46.659702+00:00,
ORD-00015,Credit Check,2026-03-08T18:50:04.061928+00:00,Credit Team
ORD-00015,Approve Order,2026-03-08T19:10:44.217155+00:00,Sales Manager
ORD-00015,Ship Item,2026-03-09T16:52:05.550388+00:00,Warehouse
ORD-00015,Send Invoice,2026-03-09T17:00:06.733913+00:00,Finance
ORD-00015,Payment Received,2026-03-15T22:55:54.368568+00:00,Finance
ORD-00015,Close Order,2026-03-15T23:43:58.839417+00:00,
ORD-00016,Receive Order,2026-03-06T19:52:57.280696+00:00,
ORD-00016,Credit Check,2026-03-06T21:09:32.782226+00:00,Credit Team
ORD-00016,Approve Order,2026-03-06T22:31:08.806490+00:00,Sales Manager
ORD-00016,Ship Item,2026-03-07T00:57:02.926120+00:00,Warehouse
ORD-00016,Send Invoice,2026-03-07T00:58:39.293833+00:00,Finance
ORD-00016,Payment Received,2026-03-09T07:02:22.129168+00:00,Finance
ORD-00016,Close Order,2026-03-09T07:12:56.682453+00:00,
ORD-00017,Receive Order,2026-03-06T02:16:41.515885+00:00,
ORD-00017,Credit Check,2026-03-06T02:46:47.814496+00:00,Credit Team
ORD-00017,Approve Order,2026-03-06T03:17:40.783569+00:00,Sales Manager
ORD-00017,Ship Item,2026-03-06T06:37:42.033241+00:00,Warehouse
ORD-00017,Send Invoice,2026-03-06T06:41:58.382599+00:00,Finance
ORD-00017,Payment Received,2026-03-07T10:22:18.042247+00:00,Finance
ORD-00017,Close Order,2026-03-07T11:14:53.178863+00:00,
ORD-00018,Receive Order,2026-03-09T22:21:13.499745+00:00,
ORD-00018,Credit Check,2026-03-10T00:44:44.459172+00:00,Credit Team
ORD-00018,Approve Order,2026-03-10T01:36:13.013312+00:00,Sales Manager
ORD-00018,Ship Item,2026-03-10T10:58:45.746105+00:00,Warehouse
ORD-00018,Send Invoice,2026-03-10T11:00:52.080910+00:00,Finance
ORD-00018,Payment Received,2026-03-16T13:15:40.983600+00:00,Finance
ORD-00018,Close Order,2026-03-16T14:15:16.567235+00:00,
ORD-00019,Receive Order,2026-03-07T20:37:16.970118+00:00,
ORD-00019,Credit Check,2026-03-07T21:45:55.855980+00:00,Credit Team
ORD-00019,Approve Order,2026-03-07T22:11:39.637966+00:00,Sales Manager
ORD-00019,Ship Item,2026-03-08T07:04:29.885373+00:00,Warehouse
ORD-00019,Send Invoice,2026-03-08T07:07:52.854095+00:00,Finance
ORD-00019,Payment Received,2026-03-14T06:29:11.482113+00:00,Finance
ORD-00019,Close Order,2026-03-14T06:39:42.974794+00:00,
ORD-00020,Receive Order,2026-03-01T15:50:24.820713+00:00,
ORD-00020,Credit Check,2026-03-01T20:18:07.770379+00:00,Credit Team
ORD-00020,Approve Order,2026-03-01T20:48:31.366374+00:00,Sales Manager
ORD-00020,Ship Item,2026-03-02T10:18:06.043237+00:00,Warehouse
ORD-00020,Send Invoice,2026-03-02T10:19:20.646182+00:00,Finance
ORD-00020,Payment Received,2026-03-06T14:22:12.580364+00:00,Finance
ORD-00020,Close Order,2026-03-06T15:20:56.474763+00:00,
ORD-00021,Receive Order,2026-03-13T10:08:25.043867+00:00,
ORD-00021,Credit Check,2026-03-13T12:35:55.154192+00:00,Credit Team
ORD-00021,Approve Order,2026-03-13T13:29:25.362880+00:00,Sales Manager
ORD-00021,Ship Item,2026-03-13T18:19:56.443339+00:00,Warehouse
ORD-00021,Send Invoice,2026-03-13T18:27:53.289810+00:00,Finance
ORD-00021,Payment Received,2026-03-17T23:09:29.188670+00:00,Finance
ORD-00021,Close Order,2026-03-17T23:56:27.042985+00:00,
ORD-00022,Receive Order,2026-03-05T22:47:56.308012+00:00,
ORD-00022,Credit Check,2026-03-06T05:23:07.111675+00:00,Credit Team
ORD-00022,Approve Order,2026-03-06T07:21:32.145794+00:00,Sales Manager
ORD-00022,Ship Item,2026-03-07T03:58:09.810330+00:00,Warehouse
ORD-00022,Send Invoice,2026-03-07T04:06:25.092766+00:00,Finance
ORD-00022,Payment Received,2026-03-13T01:56:48.890586+00:00,Finance
ORD-00022,Close Order,2026-03-13T02:41:28.041078+00:00,
ORD-00023,Receive Order,2026-03-04T12:14:08.320436+00:00,
ORD-00023,Credit Check,2026-03-04T15:24:08.509107+00:00,Credit Team
ORD-00023,Approve Order,2026-03-04T15:42:11.084057+00:00,Sales Manager
ORD-00023,Ship Item,2026-03-04T17:20:44.273902+00:00,Warehouse
ORD-00023,Send Invoice,2026-03-04T17:24:15.159913+00:00,Finance
ORD-00023,Payment Received,2026-03-07T06:43:31.149831+00:00,Finance
ORD-00023,Close Order,2026-03-07T07:25:22.677505+00:00,
ORD-00024,Receive Order,2026-03-14T17:26:07.970985+00:00,
ORD-00024,Credit Check,2026-03-15T00:57:47.543419+00:00,Credit Team
ORD-00024,Approve Order,2026-03-15T02:56:32.183186+00:00,Sales Manager
ORD-00024,Ship Item,2026-03-16T01:54:26.235459+00:00,Warehouse
ORD-00024,Send Invoice,2026-03-16T01:58:43.138837+00:00,Finance
ORD-00024,Payment Received,2026-03-18T09:43:30.807078+00:00,Finance
ORD-00024,Close Order,2026-03-18T09:57:53.841305+00:00,
ORD-00025,Receive Order,2026-03-04T02:07:24.824879+00:00,
ORD-00025,Credit Check,2026-03-04T07:18:14.617610+00:00,Credit Team
ORD-00025,Approve Order,2026-03-04T09:07:46.560139+00:00,Sales Manager
ORD-00025,Ship Item,2026-03-05T05:27:34.621798+00:00,Warehouse
ORD-00025,Send Invoice,2026-03-05T05:32:53.537448+00:00,Finance
ORD-00025,Payment Received,2026-03-10T03:34:37.354857+00:00,Finance
ORD-00025,Close Order,2026-03-10T04:22:48.093714+00:00,
ORD-00026,Receive Order,2026-03-02T12:32:46.597766+00:00,
ORD-00026,Credit Check,2026-03-02T19:52:10.580480+00:00,Credit Team
ORD-00026,Approve Order,2026-03-02T21:29:19.088650+00:00,Sales Manager
ORD-00026,Ship Item,2026-03-03T15:44:30.718724+00:00,Warehouse
ORD-00026,Send Invoice,2026-03-03T15:49:48.856406+00:00,Finance
