case_id,activity,timestamp,resource
INC-0001,Log Incident,2026-02-15 17:42,Service Desk Agent
INC-0001,Categorize Incident,2026-02-15 18:06,ITSM Platform
INC-0001,Assign Priority,2026-02-15 18:20,ITSM Platform
INC-0001,Investigate Issue,2026-02-16 00:03,Service Desk Agent
INC-0001,Open War Room,2026-02-16 02:03,Incident Manager
INC-0001,Restore Service,2026-02-16 04:30,Network Team
INC-0001,Escalate Ticket,2026-02-16 14:56,Service Desk Agent
INC-0001,Investigate Issue,2026-02-16 15:55,Incident Manager
INC-0001,Apply Standard Fix,2026-02-16 18:24,Service Desk Agent
INC-0001,Restore Service,2026-02-16 19:01,Network Team
INC-0001,Await User Response,2026-02-16 20:47,End User
INC-0001,Confirm Fix,2026-02-16 20:57,End User
INC-0001,Close Ticket,2026-02-16 22:53,Service Desk Agent
INC-0001,Send Satisfaction Survey,2026-02-16 23:20,ITSM Platform
INC-0002,Log Incident,2026-02-04 04:18,Service Desk Agent
INC-0002,Categorize Incident,2026-02-04 04:53,ITSM Platform
INC-0002,Assign Priority,2026-02-04 04:57,ITSM Platform
INC-0002,Investigate Issue,2026-02-04 09:49,Service Desk Agent
INC-0002,Apply Standard Fix,2026-02-04 13:35,Service Desk Agent
INC-0002,Restore Service,2026-02-04 16:09,Network Team
INC-0002,Escalate Ticket,2026-02-04 20:27,Service Desk Agent
INC-0002,Investigate Issue,2026-02-05 02:19,Incident Manager
INC-0002,Apply Standard Fix,2026-02-05 05:19,Service Desk Agent
INC-0002,Restore Service,2026-02-05 06:43,Network Team
INC-0002,Await User Response,2026-02-05 09:19,End User
INC-0002,Confirm Fix,2026-02-05 10:00,End User
INC-0002,Close Ticket,2026-02-05 12:34,Service Desk Agent
INC-0002,Send Satisfaction Survey,2026-02-05 13:00,ITSM Platform
INC-0003,Log Incident,2026-02-03 06:09,Service Desk Agent
INC-0003,Categorize Incident,2026-02-03 06:42,ITSM Platform
INC-0003,Assign Priority,2026-02-03 06:45,ITSM Platform
INC-0003,Investigate Issue,2026-02-03 11:40,Service Desk Agent
INC-0003,Apply Standard Fix,2026-02-03 13:09,Service Desk Agent
INC-0003,Restore Service,2026-02-03 15:06,Network Team
INC-0003,Escalate Ticket,2026-02-03 17:36,Service Desk Agent
INC-0003,Investigate Issue,2026-02-03 22:58,Incident Manager
INC-0003,Apply Standard Fix,2026-02-04 00:36,Service Desk Agent
INC-0003,Restore Service,2026-02-04 01:57,Network Team
INC-0003,Await User Response,2026-02-05 01:43,End User
INC-0003,Confirm Fix,2026-02-05 01:59,End User
INC-0003,Close Ticket,2026-02-05 02:30,Service Desk Agent
INC-0003,Send Satisfaction Survey,2026-02-05 03:08,ITSM Platform
INC-0004,Log Incident,2026-02-26 23:54,Service Desk Agent
INC-0004,Categorize Incident,2026-02-27 01:20,ITSM Platform
INC-0004,Assign Priority,2026-02-27 01:28,ITSM Platform
INC-0004,Investigate Issue,2026-02-27 04:48,Service Desk Agent
INC-0004,Open War Room,2026-02-27 06:34,Incident Manager
INC-0004,Restore Service,2026-02-27 07:00,Network Team
INC-0004,Await User Response,2026-02-28 04:37,End User
INC-0004,Confirm Fix,2026-02-28 04:55,End User
INC-0004,Close Ticket,2026-02-28 07:07,Service Desk Agent
INC-0004,Send Satisfaction Survey,2026-02-28 07:51,ITSM Platform
INC-0005,Log Incident,2026-02-25 04:46,Service Desk Agent
INC-0005,Categorize Incident,2026-02-25 05:45,ITSM Platform
INC-0005,Assign Priority,2026-02-25 05:57,ITSM Platform
INC-0005,Investigate Issue,2026-02-25 10:05,Service Desk Agent
INC-0005,Apply Standard Fix,2026-02-25 12:16,Service Desk Agent
INC-0005,Restore Service,2026-02-25 13:58,Network Team
INC-0005,Await User Response,2026-02-25 20:36,End User
INC-0005,Confirm Fix,2026-02-25 21:25,End User
INC-0005,Close Ticket,2026-02-26 00:49,Service Desk Agent
INC-0005,Send Satisfaction Survey,2026-02-26 01:05,ITSM Platform
INC-0006,Log Incident,2026-02-04 17:24,Service Desk Agent
INC-0006,Categorize Incident,2026-02-04 18:42,ITSM Platform
INC-0006,Assign Priority,2026-02-04 18:53,ITSM Platform
INC-0006,Investigate Issue,2026-02-04 23:31,Service Desk Agent
INC-0006,Apply Standard Fix,2026-02-05 01:13,Service Desk Agent
INC-0006,Restore Service,2026-02-05 03:17,Network Team
INC-0006,Await User Response,2026-02-05 06:16,End User
INC-0006,Confirm Fix,2026-02-05 06:28,End User
INC-0006,Close Ticket,2026-02-05 08:44,Service Desk Agent
INC-0006,Send Satisfaction Survey,2026-02-05 09:11,ITSM Platform
INC-0007,Log Incident,2026-02-08 12:10,Service Desk Agent
INC-0007,Categorize Incident,2026-02-08 12:58,ITSM Platform
INC-0007,Assign Priority,2026-02-08 13:04,ITSM Platform
INC-0007,Investigate Issue,2026-02-08 17:24,Service Desk Agent
INC-0007,Apply Standard Fix,2026-02-08 20:30,Service Desk Agent
INC-0007,Restore Service,2026-02-08 20:59,Network Team
INC-0007,Await User Response,2026-02-09 17:02,End User
INC-0007,Confirm Fix,2026-02-09 17:57,End User
INC-0007,Close Ticket,2026-02-09 21:46,Service Desk Agent
INC-0007,Send Satisfaction Survey,2026-02-09 22:39,ITSM Platform
INC-0008,Log Incident,2026-02-15 06:41,Service Desk Agent
INC-0008,Categorize Incident,2026-02-15 07:29,ITSM Platform
INC-0008,Assign Priority,2026-02-15 07:42,ITSM Platform
INC-0008,Investigate Issue,2026-02-15 12:56,Service Desk Agent
INC-0008,Apply Standard Fix,2026-02-15 16:35,Service Desk Agent
INC-0008,Restore Service,2026-02-15 18:41,Network Team
INC-0008,Escalate Ticket,2026-02-15 20:46,Service Desk Agent
INC-0008,Investigate Issue,2026-02-15 23:34,Incident Manager
INC-0008,Apply Standard Fix,2026-02-16 01:55,Service Desk Agent
INC-0008,Restore Service,2026-02-16 03:34,Network Team
INC-0008,Await User Response,2026-02-17 02:44,End User
INC-0008,Confirm Fix,2026-02-17 02:53,End User
INC-0008,Close Ticket,2026-02-17 03:13,Service Desk Agent
