case_id,activity,timestamp,resource
VND-0001,Receive Application,2026-03-04 12:50,Vendor Portal
VND-0001,Verify Documents,2026-03-04 12:56,Vendor Portal
VND-0001,Await Vendor Documents,2026-03-06 22:22,Vendor Portal
VND-0001,Verify Documents,2026-03-06 22:27,Vendor Portal
VND-0001,Review Application,2026-03-06 23:49,Procurement Officer
VND-0001,Compliance Screening,2026-03-09 23:33,Compliance Team
VND-0001,Financial Risk Assessment,2026-03-14 08:10,Finance Manager
VND-0001,Approve Vendor,2026-03-14 14:12,Finance Manager
VND-0001,Reject Application,2026-03-14 14:36,Procurement Officer
VND-0002,Receive Application,2026-02-20 07:57,Vendor Portal
VND-0002,Verify Documents,2026-02-20 08:07,Vendor Portal
VND-0002,Review Application,2026-02-20 14:09,Procurement Officer
VND-0002,Compliance Screening,2026-02-27 08:42,Compliance Team
VND-0002,Financial Risk Assessment,2026-03-01 14:47,Finance Manager
VND-0002,Approve Vendor,2026-03-02 13:46,Finance Manager
VND-0002,Create Vendor Record,2026-03-02 13:51,ERP System
VND-0002,Send Welcome Pack,2026-03-02 14:17,ERP System
VND-0002,Archive Application,2026-03-02 14:44,ERP System
VND-0003,Receive Application,2026-01-19 20:46,Vendor Portal
VND-0003,Verify Documents,2026-01-19 20:53,Vendor Portal
VND-0003,Review Application,2026-01-19 23:13,Procurement Officer
VND-0003,Compliance Screening,2026-01-25 19:07,Compliance Team
VND-0003,Financial Risk Assessment,2026-01-27 09:04,Finance Manager
VND-0003,Approve Vendor,2026-01-27 19:40,Finance Manager
VND-0003,Create Vendor Record,2026-01-27 20:07,ERP System
VND-0003,Send Welcome Pack,2026-01-27 20:28,ERP System
VND-0003,Archive Application,2026-01-27 20:38,ERP System
VND-0004,Receive Application,2026-01-09 06:55,Vendor Portal
VND-0004,Verify Documents,2026-01-09 07:05,Vendor Portal
VND-0004,Review Application,2026-01-09 10:48,Procurement Officer
VND-0004,Compliance Screening,2026-01-12 08:19,Compliance Team
VND-0004,Financial Risk Assessment,2026-01-16 11:41,Finance Manager
VND-0004,Approve Vendor,2026-01-18 10:35,Finance Manager
VND-0004,Create Vendor Record,2026-01-18 11:35,ERP System
VND-0004,Send Welcome Pack,2026-01-18 11:48,ERP System
VND-0004,Archive Application,2026-01-18 12:08,ERP System
VND-0005,Receive Application,2026-01-22 20:03,Vendor Portal
VND-0005,Verify Documents,2026-01-22 20:05,Vendor Portal
VND-0005,Review Application,2026-01-23 03:10,Procurement Officer
VND-0005,Financial Risk Assessment,2026-01-28 10:11,Finance Manager
VND-0005,Compliance Screening,2026-01-29 21:04,Compliance Team
VND-0005,Approve Vendor,2026-02-01 12:13,Finance Manager
VND-0005,Reject Application,2026-02-01 12:40,Procurement Officer
VND-0006,Receive Application,2026-02-15 14:29,Vendor Portal
VND-0006,Verify Documents,2026-02-15 14:36,Vendor Portal
VND-0006,Review Application,2026-02-15 18:07,Procurement Officer
VND-0006,Compliance Screening,2026-02-20 03:19,Compliance Team
VND-0006,Financial Risk Assessment,2026-02-24 22:49,Finance Manager
VND-0006,Approve Vendor,2026-02-27 18:45,Finance Manager
VND-0006,Create Vendor Record,2026-02-27 18:54,ERP System
VND-0006,Send Welcome Pack,2026-02-27 19:15,ERP System
VND-0006,Archive Application,2026-02-27 19:37,ERP System
VND-0007,Receive Application,2026-01-20 21:51,Vendor Portal
VND-0007,Verify Documents,2026-01-20 21:56,Vendor Portal
VND-0007,Review Application,2026-01-21 01:40,Procurement Officer
VND-0007,Financial Risk Assessment,2026-01-26 03:22,Finance Manager
VND-0007,Compliance Screening,2026-01-30 18:44,Compliance Team
VND-0007,Approve Vendor,2026-01-31 13:43,Finance Manager
VND-0007,Create Vendor Record,2026-01-31 14:41,ERP System
VND-0007,Send Welcome Pack,2026-01-31 15:07,ERP System
VND-0007,Archive Application,2026-01-31 15:33,ERP System
VND-0008,Receive Application,2026-01-10 10:11,Vendor Portal
VND-0008,Verify Documents,2026-01-10 10:13,Vendor Portal
VND-0008,Await Vendor Documents,2026-01-16 00:07,Vendor Portal
VND-0008,Verify Documents,2026-01-16 00:14,Vendor Portal
VND-0008,Review Application,2026-01-16 01:17,Procurement Officer
VND-0008,Financial Risk Assessment,2026-01-20 10:53,Finance Manager
VND-0008,Compliance Screening,2026-01-24 16:19,Compliance Team
VND-0008,Approve Vendor,2026-01-25 17:47,Finance Manager
VND-0008,Create Vendor Record,2026-01-25 18:23,ERP System
VND-0008,Send Welcome Pack,2026-01-25 18:37,ERP System
VND-0008,Archive Application,2026-01-25 19:07,ERP System
VND-0009,Receive Application,2026-03-04 20:19,Vendor Portal
VND-0009,Verify Documents,2026-03-04 20:25,Vendor Portal
VND-0009,Review Application,2026-03-05 03:16,Procurement Officer
VND-0009,Financial Risk Assessment,2026-03-10 03:00,Finance Manager
VND-0009,Compliance Screening,2026-03-15 08:59,Compliance Team
VND-0009,Approve Vendor,2026-03-18 02:16,Finance Manager
VND-0009,Create Vendor Record,2026-03-18 02:44,ERP System
VND-0009,Send Welcome Pack,2026-03-18 02:53,ERP System
VND-0009,Archive Application,2026-03-18 02:59,ERP System
VND-0010,Receive Application,2026-02-20 17:04,Vendor Portal
VND-0010,Verify Documents,2026-02-20 17:06,Vendor Portal
VND-0010,Review Application,2026-02-20 18:54,Procurement Officer
VND-0010,Financial Risk Assessment,2026-02-24 14:35,Finance Manager
VND-0010,Compliance Screening,2026-03-02 02:43,Compliance Team
